Song Name,Artist,Genre,Popularity,Danceability ,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Beggin',M?neskin,"['indie rock italiano', 'italian pop']",100,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560,0.589
STAY (with Justin Bieber),The Kid LAROI,['australian hip hop'],99,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806,0.478
good 4 u,Olivia Rodrigo,['pop'],99,0.563,0.664,-5.044,0.154,0.335,0.0849,166.928,178147,0.688
Bad Habits,Ed Sheeran,"['pop', 'uk pop']",98,0.808,0.897,-3.712,0.0348,0.0469,0.364,126.026,231041,0.591
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"['lgbtq+ hip hop', 'pop rap']",96,0.736,0.704,-7.409,0.0615,0.0203,0.0501,149.995,212000,0.894
MONTERO (Call Me By Your Name),Lil Nas X,"['lgbtq+ hip hop', 'pop rap']",97,0.61,0.508,-6.682,0.152,0.297,0.384,178.818,137876,0.758
Kiss Me More (feat. SZA),Doja Cat,"['dance pop', 'pop']",94,0.762,0.701,-3.541,0.0286,0.235,0.123,110.968,208867,0.742
Todo De Ti,Rauw Alejandro,"['puerto rican pop', 'trap latino']",95,0.78,0.718,-3.605,0.0506,0.31,0.0932,127.949,199604,0.342
Yonaguni,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",96,0.644,0.648,-4.601,0.118,0.276,0.135,179.951,206710,0.44
I WANNA BE YOUR SLAVE,M?neskin,"['indie rock italiano', 'italian pop']",95,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347,0.958
Levitating (feat. DaBaby),Dua Lipa,"['dance pop', 'pop', 'uk pop']",89,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064,0.915
Qu? M?s Pues?,"J Balvin, Maria Becerra","['latin', 'reggaeton', 'reggaeton colombiano']",95,0.891,0.819,-3.964,0.106,0.0261,0.173,101.968,217773,0.768
Permission to Dance,BTS,"['k-pop', 'k-pop boy group']",95,0.702,0.741,-5.33,0.0427,0.00544,0.337,124.925,187585,0.646
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,"['canadian pop', 'pop', 'post-teen pop']",94,0.677,0.696,-6.181,0.119,0.321,0.42,90.03,198082,0.464
Butter,BTS,"['k-pop', 'k-pop boy group']",95,0.759,0.459,-5.187,0.0948,0.00323,0.0906,109.997,164442,0.695
